review,rating
common situation fishing ladder boats moored,3
kalamaria general nice places sit relax enjoy view everything abandoned anyone responsible garbage,2
municipal refreshment house harbor photos taken looks like nice romantic place succeed sunset even romantic close course picture completely different old dirty various objects spoil landscape visually environmentally needs immediate renovation better organization,2
pier harbor abandoned strong bad smell area,3
beautiful picturesque place,5
beautiful place municipality doesnt clean needs work,3
pretty good downside garbage,4
wonderful place contemplation tranquility,5
fantastic location,5
beautiful harbor,5
walk sport relaxation,5
hunting,1
