review,rating
one central universities city huge campus many interesting spots,5
building good rains feels like lake,5
uniwa offers good highlevel computer engineering program courses tough rewarding strong focus theory realworld applications professors experienced informative labs wellequipped campus great facilities 15 minutes metro making easy reach theres still room improvement organization things steadily getting better overall solid choice anyone serious tech engineering,5
beautiful place educate,5
university west attica established 2018 result merger technological educational institute athens technological educational institute piraeus situated athens,5
departments good according passed students years tei greek,5
opportunity visit university west attica thoroughly impressed campus wellmaintained facilities modern inviting faculty members met knowledgeable approachable creating conducive learning environment overall university west attica great institution offers quality education highly recommended,5
ive visited specific part university west attica near egaleo perspective limited area buildings decently organized definitely tell theyre old could use updates ive told students university whole particularly wellorganized library however nice actually studied bit seemed quite decent cafeteria didnt many options food didnt look fresh honest visitor cant speak parts university overall impression university old buildings organizational issues yet decent library,4
best university planet earth,5
university west attica uniwa greek πανεπιστήμιο δυτικής αττικής newly established university athens urban area resulted general overhaul technological educational institutes tei greece university two campuses area aigaleo university west attica created 2018 result merger technological educational institute athens technological educational institute piraeus,5
