review,rating,sentiment
nice archaeological site with two monasteries well preserved the bizantine palace is closed so dont go up to see it many stairs a bit sloopy,4,Positive
this is a beautiful and impressive site there are so many beautiful buildings and the history and views are equally amazing i wasnt quite prepared for how much of an uphill hike it is to see all the buildings are the mystras the upper entrance was closed due to construction so we entered from the bottom and then it was up up up to see everything else im sure this will be easy for some but more challenging for others definitely worth the effort,5,Positive
one of best visits while in greece we parked at bottom and walked all the way to the citadel before back down on the trails took our time enjoying the incredible views and getting some an amazing pictures do not recommend if wet as lots of dirt and loose rock watch your steps as can easily fall,5,Positive
i would like to give this place seven stars out of five but i only could give five due to the technical issues this is a sightseeing worth your while remarkable views rich history easy access you name it if you ever visit peloponnesus greece you have to pay a visit to the ancient mystras,5,Positive
worth visiting great views nice walks and a donkey with his dog pal are some of the few things you might encounter of course the odd old geezer who cant gather the energy to climb up but thats life bring a bit of water quite a climb in the burning heat we didnt even pay entree not sure if that was supposed to be like this,5,Positive
nice 20 euro pp a bit steep the whole village is under construction currently,4,Positive
what a gem a walk through a medieval historic castle settlement with ancient churches and glorious views of the spartan valley a challenging walk at some spots through steep stone paths at normal pace it takes 1 h 50 minutes including stops to admire the different churches and the small museum to reach the mountaintop acropolis the fully renovated palace was closed due to final touches and is opening officially april 2026 very helpful and knowledgeable staff tip you can drive up to the second entrance which is closer to the mountain top and then drive back to enter via the main entrance to see the museum and the larger monuments and areas go for it,5,Positive
it would be a nice place to see if it were taken care of better its like actual ruins no signs of making it place lots of grass looks like still abandon place the entrance fee of 20 seems too much for it the place had its glory times and the history behind is fascinating however nowadays its just a place for making money and not restoring such a nice place such a shame the views from the top are just stunning its quite a walk uphill but it definitely worth it,2,Neutral
really nice experience and kind of a hike plan 3 hours to see all,5,Positive
the archeological site is made up of 2 sections an upper and a lower if you have a vehicle drive up to the very top car park and do the upper section first youll need to be fit as its a steep 800m climb but its well worth the stupendous views we started out at 8am to beat the heat and the groups after finishing the top section we drove to the lower car park and walked that section its quite steep as well and youll do lots of steps its well worth it and highly recommended,5,Positive
