review,rating,sentiment
area nice unfortunately road destroyed beginning guess ready swim submerged sections would great adventure another annoying element hike area around fishermen huts fishermen turned area trash apart nice views interesting birds saint nicholas monastery also nice place visit,3,Negative
tried go road collapsed really want go one day,5,Negative
road lighthouse crumbling many years bought inflatable boat jumbo cross three gaps water september strong dive pull boat certainly quite dangerous foul water swamp pleasant point road consists washedup algae countless insects spring step finally reach lighthouse discover essentially small artificial island past permanent keeper lived lighthouse powered oil instead solar panels existence maintenance road necessary also learn tide completely disappears road came 612 hours definitely adventure would suggest take kayak also highquality inflatables approach lighthouse directly sea instead taking route,5,Negative
hoping would make lighthouse road sunk,1,Negative
us caught road sank embankment observatory enchanting dystopian landscape en route kalochori lighthouse huts taverns lagoon boats given unique setting together different kinds birds area double thessaloniki unknown many proper organization supervision municipality incredible cycling walking route could laid would attract thousands people nobody cares pharaonic projects country,5,Negative
lighthouse amidst greenery next sea,4,Neutral
apparently impossible get time couldnt make either,1,Negative
east axios delta seen plane shortly landing thessaloniki,5,Neutral
talking natural landscape inhabited thousands animal species absolute abandonment disrespect state years place elsewhere would attract thousands tourists fine print last village tell,5,Negative
location generally nice huts nature etc radio beacon road exist anymore submerged,5,Neutral
went cycling beautiful habitats,5,Positive
depths axios delta,5,Negative
